"GO.ID","Ontology","Term","result"
"GO:0006120","BP","mitochondrial electron transport, NADH to ubiquinone","2.5e-11"
"GO:0019646","BP","aerobic electron transport chain","1.4e-10"
"GO:1902600","BP","proton transmembrane transport","1.3e-09"
"GO:0042775","BP","mitochondrial ATP synthesis coupled electron transport","2.1e-09"
"GO:0015986","BP","proton motive force-driven ATP synthesis","3.2e-08"
"GO:0006030","BP","chitin metabolic process","4.5e-07"
"GO:0009064","BP","glutamine family amino acid metabolic process","4.7e-06"
"GO:0009063","BP","cellular amino acid catabolic process","0.00012"
"GO:0032504","BP","multicellular organism reproduction","0.00014"
"GO:1901606","BP","alpha-amino acid catabolic process","0.00015"
"GO:0006099","BP","tricarboxylic acid cycle","0.00021"
"GO:0045214","BP","sarcomere organization","0.00041"
"GO:0040003","BP","chitin-based cuticle development","0.00085"
"GO:0006936","BP","muscle contraction","0.0014"
"GO:0097190","BP","apoptotic signaling pathway","0.0014"
"GO:0001894","BP","tissue homeostasis","0.0021"
"GO:0016203","BP","muscle attachment","0.0024"
"GO:0060438","BP","trachea development","0.0027"
"GO:0060537","BP","muscle tissue development","0.0039"
"GO:0007475","BP","apposition of dorsal and ventral imaginal disc-derived wing surfaces","0.0045"
"GO:0035159","BP","regulation of tube length, open tracheal system","0.0073"
"GO:1901566","BP","organonitrogen compound biosynthetic process","0.0074"
"GO:0006109","BP","regulation of carbohydrate metabolic process","0.0087"
"GO:0005747","CC","mitochondrial respiratory chain complex I","1.9e-12"
"GO:0005746","CC","mitochondrial respirasome","1.8e-11"
"GO:0098803","CC","respiratory chain complex","1.8e-11"
"GO:0070069","CC","cytochrome complex","2.6e-11"
"GO:0098800","CC","inner mitochondrial membrane protein complex","1.7e-10"
"GO:1990204","CC","oxidoreductase complex","2.0e-07"
"GO:0005753","CC","mitochondrial proton-transporting ATP synthase complex","8.4e-07"
"GO:0005576","CC","extracellular region","2.4e-05"
"GO:0036379","CC","myofilament","6.1e-05"
"GO:0005615","CC","extracellular space","0.00022"
"GO:0033178","CC","proton-transporting two-sector ATPase complex, catalytic domain","0.00027"
"GO:0062023","CC","collagen-containing extracellular matrix","0.00069"
"GO:1902495","CC","transmembrane transporter complex","0.00099"
"GO:0005788","CC","endoplasmic reticulum lumen","0.0013"
"GO:0005887","CC","integral component of plasma membrane","0.0037"
"GO:0030017","CC","sarcomere","0.0045"
"GO:0005743","CC","mitochondrial inner membrane","0.0046"
"GO:0031672","CC","A band","0.0047"
"GO:0005759","CC","mitochondrial matrix","0.005"
"GO:0031305","CC","integral component of mitochondrial inner membrane","0.008"
"GO:0015453","MF","oxidoreduction-driven active transmembrane transporter activity","8.1e-10"
"GO:0008137","MF","NADH dehydrogenase (ubiquinone) activity","1.1e-09"
"GO:0009055","MF","electron transfer activity","2.7e-09"
"GO:0015078","MF","proton transmembrane transporter activity","6.9e-08"
"GO:0015252","MF","proton channel activity","9.0e-07"
"GO:0022853","MF","active ion transmembrane transporter activity","1.2e-06"
"GO:0003954","MF","NADH dehydrogenase activity","5.4e-05"
"GO:0008061","MF","chitin binding","5.7e-05"
"GO:0051537","MF","2 iron, 2 sulfur cluster binding","0.00028"
"GO:0016874","MF","ligase activity","6e-04"
"GO:0008010","MF","structural constituent of chitin-based larval cuticle","0.00067"
"GO:0005488","MF","binding","8e-04"
"GO:0016616","MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","0.00084"
"GO:0016614","MF","oxidoreductase activity, acting on CH-OH group of donors","0.0019"
"GO:0050660","MF","flavin adenine dinucleotide binding","0.0019"
"GO:0016879","MF","ligase activity, forming carbon-nitrogen bonds","0.0037"
"GO:0016903","MF","oxidoreductase activity, acting on the aldehyde or oxo group of donors","0.0047"
"GO:0030170","MF","pyridoxal phosphate binding","0.0065"
